Country,City
Italy,FISCIANO
Italy,Florence
Italy,FOGGIA
Italy,FROSINONE
Italy,GENOVA
Italy,L´AQUILA
Italy,LECCE
Italy,MESSINA
Italy,Milan
Italy,MODENA
Italy,Naples
Italy,Padua
Italy,PALERMO
Italy,PARMA
Italy,PAVIA
Italy,PERUGIA
Italy,PISA
Italy,POTENZA
Italy,RAVENNA
Italy,Rome
Italy,SALERNO
Italy,SASSARI
Italy,SIENA
Italy,TERAMO
Italy,TRIESTE
Italy,Turin
Italy,Turin
Italy,URBINO
Italy,VARESE
Italy,VERCELLI
Italy,VERONA
Italy,VITERBO
Latvia,REZEKNE
Latvia,RËZEKNES
Latvia,RIGA
Latvia,VALMIERA
Lithuania,KAUNAS
Lithuania,KLAIPEDA
Lithuania,MARIJAMPOLÉ
Lithuania,VILNIUS
Netherlands,BREDA
Netherlands,Groningen
Netherlands,HEERLEN
Netherlands,HENGELO
Netherlands,NIJMEGEN
North Macedonia,STIP
Norway,TRONDHEIM
Poland,BIALYSTOK
Poland,"BIALYSTOK "
Poland,BYDGOSZCZ
Poland,Gdańsk
Poland,GDYNIA
Poland,KATOWICE
Poland,KIELCE
Poland,KONIN
Poland,Kraków
Poland,Kraków
Poland,Kraków
Poland,KROSNO
Poland,LEGNICA
Poland,Łódź
Poland,LUBLIN
Poland,LUBLINIE
Poland,OPOLE
Poland,PLOCK
Poland,POZNAN
Poland,SANOK
Poland,SZCZECIN
Poland,TORUN
Poland,Warsaw
Poland,Warsaw
Poland,Warsaw
Poland,Warsaw
Poland,Warsaw
Poland,Warsaw
Poland,WLOCLAWEK
Poland,Wrocław
Poland,Wrocław
Portugal,ANGRA DO HEROISMO
Portugal,AVEIRO
Portugal,BARCELOS
Portugal,BEJA
Portugal,BRAGA
Portugal,Bragança
Portugal,Braganza
Portugal,CAPARICA
Portugal,CASTELO BRANCO
Portugal,COIMBRA
Portugal,Covilhã
Portugal,COVILHÃ
Portugal,FAFE
Portugal,FARO
Portugal,FUNCHAL
Portugal,GUARDA
Portugal,LEIRIA
Portugal,Lisbon
Portugal,LUSIADA
Portugal,MADEIRA
Portugal,MAIA
Portugal,PONTA DELGADA
Portugal,PORTO
Portugal,VILA REAL
Portugal,VISEU
Romania,ALBA IULIA
Romania,Bucharest
Romania,BUCHAREST
Romania,CRAIOVA
Romania,CRUJ-NAPOCA
Romania,IASI
Romania,NAPOCA
Romania,SIBIU
Slovakia,BANSKA
Slovakia,PRESOV
Slovakia,ZILINA
Slovenia,KOPER
Slovenia,Ljubljana
Slovenia,LJUBLJANA
Slovenia,Maribor
Slovenia,MARIBOR
Slovenia,NOVA GORICA
Slovenia,Novo Mesto
Slovenia,NOVO MESTO
Sweden,Malmö
Sweden,STOCKHOLM
Sweden,Trollhättan
Sweden,Umeå
Sweden,Växjö
Switzerland,Delémont
Switzerland,LAUSANNE
Switzerland,WINTERTUR
Switzerland,Zürich
Turkey,
Turkey,ADANA
Turkey,ANKARA
Turkey,DENIZLI
Turkey,Istanbul
Turkey,ISTANBUL
Turkey,KILIS
Turkey,MERSIN
Turkey,ORDU
